params,trial_1,trial_2,trial_3,trial_4,trial_5,trial_6,trial_7,trial_8,trial_9,trial_10,trial_mean,trial_std,rank_mean,rank_std,rank_mean_std
"{'bout_size': 0.05, 'epoch': 100, 'pop_size': 100}",5534.750770354556,5534.750770354556,5534.750770354556,5534.750770354556,5534.750770354556,5534.750770354556,5534.750770354556,5534.750770354556,5534.6516821582945,5534.6516821582945,5534.730952715303,0.041779251923266175,15.0,12.0,15.0
"{'bout_size': 0.06, 'epoch': 100, 'pop_size': 100}",5534.707119952691,5534.707119952691,5534.707119952691,5534.707119952691,5534.707119952691,5534.707119952691,5534.707119952691,5534.707119952691,5534.607758973317,5534.607758973317,5534.687247756816,0.04189426738227588,14.0,13.0,14.0
"{'bout_size': 0.07, 'epoch': 100, 'pop_size': 100}",5534.574956648506,5534.574956648506,5534.574956648506,5534.574956648506,5534.574956648506,5534.574956648506,5534.574956648506,5534.574956648506,5534.614059232757,5534.614059232757,5534.582777165355,0.016487097151263702,1.0,6.0,1.0
"{'bout_size': 0.08, 'epoch': 100, 'pop_size': 100}",5534.604839361647,5534.604839361647,5534.604839361647,5534.604839361647,5534.604839361647,5534.604839361647,5534.604839361647,5534.604839361647,5534.621873570074,5534.621873570074,5534.608246203332,0.0071822529025261555,4.0,3.0,4.0
"{'bout_size': 0.09, 'epoch': 100, 'pop_size': 100}",5534.898451617685,5534.898451617685,5534.898451617685,5534.898451617685,5534.898451617685,5534.898451617685,5534.898451617685,5534.898451617685,5534.592455579134,5534.592455579134,5534.837252409975,0.12901925824122978,16.0,16.0,16.0
"{'bout_size': 0.1, 'epoch': 100, 'pop_size': 100}",5534.599293652454,5534.599293652454,5534.599293652454,5534.599293652454,5534.599293652454,5534.599293652454,5534.599293652454,5534.599293652454,5534.711427018356,5534.711427018356,5534.621720325636,0.04727957839316861,7.0,14.0,7.0
"{'bout_size': 0.11, 'epoch': 100, 'pop_size': 100}",5534.677551099052,5534.677551099052,5534.677551099052,5534.677551099052,5534.677551099052,5534.677551099052,5534.677551099052,5534.677551099052,5534.591328924143,5534.591328924143,5534.66030666407,0.03635446100322515,12.0,11.0,12.0
"{'bout_size': 0.12, 'epoch': 100, 'pop_size': 100}",5534.627296429646,5534.627296429646,5534.627296429646,5534.627296429646,5534.627296429646,5534.627296429646,5534.627296429646,5534.627296429646,5534.592194022184,5534.592194022184,5534.620275948152,0.014800474524541321,6.0,5.0,6.0
"{'bout_size': 0.13, 'epoch': 100, 'pop_size': 100}",5534.641605064136,5534.641605064136,5534.641605064136,5534.641605064136,5534.641605064136,5534.641605064136,5534.641605064136,5534.641605064136,5534.624802438526,5534.624802438526,5534.638244539014,0.007084609013018068,9.0,2.0,9.0
"{'bout_size': 0.14, 'epoch': 100, 'pop_size': 100}",5534.577458257103,5534.577458257103,5534.577458257103,5534.577458257103,5534.577458257103,5534.577458257103,5534.577458257103,5534.577458257103,5534.654133812607,5534.654133812607,5534.592793368203,0.032329252833571034,3.0,9.0,3.0
"{'bout_size': 0.15, 'epoch': 100, 'pop_size': 100}",5534.664166217135,5534.664166217135,5534.664166217135,5534.664166217135,5534.664166217135,5534.664166217135,5534.664166217135,5534.664166217135,5534.578775100728,5534.578775100728,5534.647087993854,0.03600405597198877,10.0,10.0,10.0
"{'bout_size': 0.16, 'epoch': 100, 'pop_size': 100}",5534.613300766209,5534.613300766209,5534.613300766209,5534.613300766209,5534.613300766209,5534.613300766209,5534.613300766209,5534.613300766209,5534.640254305203,5534.640254305203,5534.618691474007,0.011364609896190593,5.0,4.0,5.0
"{'bout_size': 0.17, 'epoch': 100, 'pop_size': 100}",5534.6409318344295,5534.6409318344295,5534.6409318344295,5534.6409318344295,5534.6409318344295,5534.6409318344295,5534.6409318344295,5534.6409318344295,5534.59143176896,5534.59143176896,5534.6310318213355,0.02087106016132729,8.0,7.0,8.0
"{'bout_size': 0.18, 'epoch': 100, 'pop_size': 100}",5534.635442083597,5534.635442083597,5534.635442083597,5534.635442083597,5534.635442083597,5534.635442083597,5534.635442083597,5534.635442083597,5534.752532786462,5534.752532786462,5534.658860224171,0.04936977518463318,11.0,15.0,11.0
"{'bout_size': 0.19, 'epoch': 100, 'pop_size': 100}",5534.6669867908495,5534.6669867908495,5534.6669867908495,5534.6669867908495,5534.6669867908495,5534.6669867908495,5534.6669867908495,5534.6669867908495,5534.719718431291,5534.719718431291,5534.677533118937,0.022233611806907475,13.0,8.0,13.0
"{'bout_size': 0.2, 'epoch': 100, 'pop_size': 100}",5534.585332734658,5534.585332734658,5534.585332734658,5534.585332734658,5534.585332734658,5534.585332734658,5534.585332734658,5534.585332734658,5534.585995224902,5534.585995224902,5534.585465232705,0.00027933041332379424,2.0,1.0,2.0
