params,trial_1,trial_2,trial_3,trial_4,trial_5,trial_6,trial_7,trial_8,trial_9,trial_10,trial_mean,trial_std,rank_mean,rank_std,rank_mean_std
"{'bout_size': 0.05, 'epoch': 100, 'pop_size': 100}",0.01253909456118291,0.01253909456118291,0.01253909456118291,0.01253909456118291,0.01253909456118291,0.01253909456118291,0.01253909456118291,0.01253909456118291,0.012547648688155279,0.012547648688155279,0.012540805386577383,3.606736616928952e-06,12.0,7.0,12.0
"{'bout_size': 0.06, 'epoch': 100, 'pop_size': 100}",0.012530475688676912,0.012530475688676912,0.012530475688676912,0.012530475688676912,0.012530475688676912,0.012530475688676912,0.012530475688676912,0.012530475688676912,0.012535284656938117,0.012535284656938117,0.012531437482329152,2.02763905344933e-06,7.0,4.0,7.0
"{'bout_size': 0.07, 'epoch': 100, 'pop_size': 100}",0.01254319784511965,0.01254319784511965,0.01254319784511965,0.01254319784511965,0.01254319784511965,0.01254319784511965,0.01254319784511965,0.01254319784511965,0.012534519097720472,0.012534519097720472,0.012541462095639814,3.659281202489012e-06,13.0,8.0,13.0
"{'bout_size': 0.08, 'epoch': 100, 'pop_size': 100}",0.01253330723395081,0.01253330723395081,0.01253330723395081,0.01253330723395081,0.01253330723395081,0.01253330723395081,0.01253330723395081,0.01253330723395081,0.012533109282504576,0.012533109282504576,0.012533267643661564,8.346365816346423e-08,10.0,1.0,10.0
"{'bout_size': 0.09, 'epoch': 100, 'pop_size': 100}",0.012539135839956628,0.012539135839956628,0.012539135839956628,0.012539135839956628,0.012539135839956628,0.012539135839956628,0.012539135839956628,0.012539135839956628,0.012527426725516277,0.012527426725516277,0.012536794017068555,4.936996135343873e-06,11.0,10.0,11.0
"{'bout_size': 0.1, 'epoch': 100, 'pop_size': 100}",0.012527414008210695,0.012527414008210695,0.012527414008210695,0.012527414008210695,0.012527414008210695,0.012527414008210695,0.012527414008210695,0.012527414008210695,0.012537356863189212,0.012537356863189212,0.012529402579206397,4.192275756914618e-06,4.0,9.0,4.0
"{'bout_size': 0.11, 'epoch': 100, 'pop_size': 100}",0.012533452732364907,0.012533452732364907,0.012533452732364907,0.012533452732364907,0.012533452732364907,0.012533452732364907,0.012533452732364907,0.012533452732364907,0.012527388543286673,0.012527388543286673,0.01253223989454926,2.5568866198848783e-06,8.0,6.0,8.0
"{'bout_size': 0.12, 'epoch': 100, 'pop_size': 100}",0.012531834041790759,0.012531834041790759,0.012531834041790759,0.012531834041790759,0.012531834041790759,0.012531834041790759,0.012531834041790759,0.012531834041790759,0.012528673336385385,0.012528673336385385,0.012531201900709684,1.3326704125047313e-06,6.0,3.0,6.0
"{'bout_size': 0.13, 'epoch': 100, 'pop_size': 100}",0.012554005923804536,0.012554005923804536,0.012554005923804536,0.012554005923804536,0.012554005923804536,0.012554005923804536,0.012554005923804536,0.012554005923804536,0.012529778646362304,0.012529778646362304,0.012549160468316093,1.0215117096303007e-05,15.0,15.0,15.0
"{'bout_size': 0.14, 'epoch': 100, 'pop_size': 100}",0.012551301366691196,0.012551301366691196,0.012551301366691196,0.012551301366691196,0.012551301366691196,0.012551301366691196,0.012551301366691196,0.012551301366691196,0.012528887452867182,0.012528887452867182,0.012546818583926391,9.450535861682334e-06,14.0,14.0,14.0
"{'bout_size': 0.15, 'epoch': 100, 'pop_size': 100}",0.012562391048409347,0.012562391048409347,0.012562391048409347,0.012562391048409347,0.012562391048409347,0.012562391048409347,0.012562391048409347,0.012562391048409347,0.012529034633935088,0.012529034633935088,0.012555719765514497,1.4064299242035413e-05,16.0,16.0,16.0
"{'bout_size': 0.16, 'epoch': 100, 'pop_size': 100}",0.012528223776392776,0.012528223776392776,0.012528223776392776,0.012528223776392776,0.012528223776392776,0.012528223776392776,0.012528223776392776,0.012528223776392776,0.012548535829583783,0.012548535829583783,0.012532286187030978,8.564313605076403e-06,9.0,13.0,9.0
"{'bout_size': 0.17, 'epoch': 100, 'pop_size': 100}",0.012528789640474972,0.012528789640474972,0.012528789640474972,0.012528789640474972,0.012528789640474972,0.012528789640474972,0.012528789640474972,0.012528789640474972,0.012526273587658687,0.012526273587658687,0.012528286429911717,1.0608610150323861e-06,2.0,2.0,2.0
"{'bout_size': 0.18, 'epoch': 100, 'pop_size': 100}",0.012526458895152226,0.012526458895152226,0.012526458895152226,0.012526458895152226,0.012526458895152226,0.012526458895152226,0.012526458895152226,0.012526458895152226,0.012539355747696893,0.012539355747696893,0.012529038265661157,5.437790491798112e-06,3.0,11.0,3.0
"{'bout_size': 0.19, 'epoch': 100, 'pop_size': 100}",0.012527109467412917,0.012527109467412917,0.012527109467412917,0.012527109467412917,0.012527109467412917,0.012527109467412917,0.012527109467412917,0.012527109467412917,0.01254237908841293,0.01254237908841293,0.012530163391612923,6.438237515677466e-06,5.0,12.0,5.0
"{'bout_size': 0.2, 'epoch': 100, 'pop_size': 100}",0.012526808900982777,0.012526808900982777,0.012526808900982777,0.012526808900982777,0.012526808900982777,0.012526808900982777,0.012526808900982777,0.012526808900982777,0.012531880097910796,0.012531880097910796,0.01252782314036838,2.138204367438794e-06,1.0,5.0,1.0
