params,trial_1,trial_2,trial_3,trial_4,trial_5,trial_6,trial_7,trial_8,trial_9,trial_10,trial_mean,trial_std,rank_mean,rank_std,rank_mean_std
"{'epoch': 100, 'pc': 0.7, 'pm': 0.11, 'pop_size': 100}",0.016919638282039753,0.016919638282039753,0.016919638282039753,0.016919638282039753,0.016919638282039753,0.016919638282039753,0.016919638282039753,0.016919638282039753,0.012539695178770835,0.012539695178770835,0.016043649661385974,0.0018467461637701153,19.0,20.0,19.0
"{'epoch': 100, 'pc': 0.7, 'pm': 0.13, 'pop_size': 100}",0.016243560019291496,0.016243560019291496,0.016243560019291496,0.016243560019291496,0.016243560019291496,0.016243560019291496,0.016243560019291496,0.016243560019291496,0.012539695178770835,0.012539695178770835,0.015502787051187367,0.0015616865388615472,15.0,18.0,15.0
"{'epoch': 100, 'pc': 0.7, 'pm': 0.15, 'pop_size': 100}",0.015689798461279363,0.015689798461279363,0.015689798461279363,0.015689798461279363,0.015689798461279363,0.015689798461279363,0.015689798461279363,0.015689798461279363,0.03219949521924768,0.03219949521924768,0.018991737812873024,0.006961099364517002,30.0,30.0,30.0
"{'epoch': 100, 'pc': 0.7, 'pm': 0.17, 'pop_size': 100}",0.015689798461279363,0.015689798461279363,0.015689798461279363,0.015689798461279363,0.015689798461279363,0.015689798461279363,0.015689798461279363,0.015689798461279363,0.02813458992856424,0.02813458992856424,0.01817875675473634,0.0052471848056598715,29.0,29.0,29.0
"{'epoch': 100, 'pc': 0.7, 'pm': 0.2, 'pop_size': 100}",0.015172704818738057,0.015172704818738057,0.015172704818738057,0.015172704818738057,0.015172704818738057,0.015172704818738057,0.015172704818738057,0.015172704818738057,0.014047679045140862,0.014047679045140862,0.014947699664018618,0.0004743525161280078,9.0,4.0,9.0
"{'epoch': 100, 'pc': 0.75, 'pm': 0.11, 'pop_size': 100}",0.016548696867901867,0.016548696867901867,0.016548696867901867,0.016548696867901867,0.016548696867901867,0.016548696867901867,0.016548696867901867,0.016548696867901867,0.013450433222841975,0.013450433222841975,0.01592904413888989,0.0013063426546779662,17.0,13.0,17.0
"{'epoch': 100, 'pc': 0.75, 'pm': 0.13, 'pop_size': 100}",0.015355490202816006,0.015355490202816006,0.015355490202816006,0.015355490202816006,0.015355490202816006,0.015355490202816006,0.015355490202816006,0.015355490202816006,0.01344633682310057,0.01344633682310057,0.01497365952687292,0.0008049697443345445,10.0,9.0,10.0
"{'epoch': 100, 'pc': 0.75, 'pm': 0.15, 'pop_size': 100}",0.01479595658791055,0.01479595658791055,0.01479595658791055,0.01479595658791055,0.01479595658791055,0.01479595658791055,0.01479595658791055,0.01479595658791055,0.013684463387295988,0.013684463387295988,0.014573657947787639,0.00046864668236433113,8.0,3.0,8.0
"{'epoch': 100, 'pc': 0.75, 'pm': 0.17, 'pop_size': 100}",0.012911047638262731,0.012911047638262731,0.012911047638262731,0.012911047638262731,0.012911047638262731,0.012911047638262731,0.012911047638262731,0.012911047638262731,0.014062188099614294,0.014062188099614294,0.013141275730533045,0.0004853634352863959,2.0,6.0,2.0
"{'epoch': 100, 'pc': 0.75, 'pm': 0.2, 'pop_size': 100}",0.012911047638262731,0.012911047638262731,0.012911047638262731,0.012911047638262731,0.012911047638262731,0.012911047638262731,0.012911047638262731,0.012911047638262731,0.014048357589266352,0.014048357589266352,0.013138509628463454,0.0004795319800994593,1.0,5.0,1.0
"{'epoch': 100, 'pc': 0.8, 'pm': 0.11, 'pop_size': 100}",0.01568258244466222,0.01568258244466222,0.01568258244466222,0.01568258244466222,0.01568258244466222,0.01568258244466222,0.01568258244466222,0.01568258244466222,0.013684463387295988,0.013684463387295988,0.015282958633188973,0.0008424809676621251,13.0,10.0,13.0
"{'epoch': 100, 'pc': 0.8, 'pm': 0.13, 'pop_size': 100}",0.01568911194775635,0.01568911194775635,0.01568911194775635,0.01568911194775635,0.01568911194775635,0.01568911194775635,0.01568911194775635,0.01568911194775635,0.013684463387295988,0.013684463387295988,0.015288182235664277,0.0008452340478976678,14.0,11.0,14.0
"{'epoch': 100, 'pc': 0.8, 'pm': 0.15, 'pop_size': 100}",0.015495090271114488,0.015495090271114488,0.015495090271114488,0.015495090271114488,0.015495090271114488,0.015495090271114488,0.015495090271114488,0.015495090271114488,0.013684463387295988,0.013684463387295988,0.015132964894350783,0.0007634273260799375,11.0,8.0,11.0
"{'epoch': 100, 'pc': 0.8, 'pm': 0.17, 'pop_size': 100}",0.013205715500696092,0.013205715500696092,0.013205715500696092,0.013205715500696092,0.013205715500696092,0.013205715500696092,0.013205715500696092,0.013205715500696092,0.014014582070518504,0.014014582070518504,0.013367488814660572,0.00034104809117419183,3.0,2.0,3.0
"{'epoch': 100, 'pc': 0.8, 'pm': 0.2, 'pop_size': 100}",0.013379194466783246,0.013379194466783246,0.013379194466783246,0.013379194466783246,0.013379194466783246,0.013379194466783246,0.013379194466783246,0.013379194466783246,0.014048357589266352,0.014048357589266352,0.013513027091279866,0.0002821439457649123,4.0,1.0,4.0
"{'epoch': 100, 'pc': 0.85, 'pm': 0.11, 'pop_size': 100}",0.015789517307206707,0.015789517307206707,0.015789517307206707,0.015789517307206707,0.015789517307206707,0.015789517307206707,0.015789517307206707,0.015789517307206707,0.02195538790203411,0.02195538790203411,0.017022691426172187,0.0025997593116682417,28.0,24.0,28.0
"{'epoch': 100, 'pc': 0.85, 'pm': 0.13, 'pop_size': 100}",0.015678685729772705,0.015678685729772705,0.015678685729772705,0.015678685729772705,0.015678685729772705,0.015678685729772705,0.015678685729772705,0.015678685729772705,0.02195538790203411,0.02195538790203411,0.01693402616422499,0.0026464900078496775,27.0,25.0,27.0
"{'epoch': 100, 'pc': 0.85, 'pm': 0.15, 'pop_size': 100}",0.015601739634901747,0.015601739634901747,0.015601739634901747,0.015601739634901747,0.015601739634901747,0.015601739634901747,0.015601739634901747,0.015601739634901747,0.02195538790203411,0.02195538790203411,0.01687246928832822,0.0026789333300960274,24.0,26.0,24.0
"{'epoch': 100, 'pc': 0.85, 'pm': 0.17, 'pop_size': 100}",0.012954477301686708,0.012954477301686708,0.012954477301686708,0.012954477301686708,0.012954477301686708,0.012954477301686708,0.012954477301686708,0.012954477301686708,0.019600899748652128,0.019600899748652128,0.014283761791079791,0.0028023777632107207,6.0,28.0,6.0
