params,trial_1,trial_2,trial_3,trial_4,trial_5,trial_6,trial_7,trial_8,trial_9,trial_10,trial_mean,trial_std,rank_mean,rank_std,rank_mean_std
"{'bout_size': 0.05, 'epoch': 100, 'pop_size': 100}",0.9500832548078786,0.9500832548078786,0.9500832548078786,0.9500832548078786,0.9500832548078786,0.9500832548078786,0.9500832548078786,0.9500832548078786,0.9664880169960998,0.9664880169960998,0.9533642072455232,0.006916855065091569,8.0,12.0,8.0
"{'bout_size': 0.06, 'epoch': 100, 'pop_size': 100}",0.9546845740521999,0.9546845740521999,0.9546845740521999,0.9546845740521999,0.9546845740521999,0.9546845740521999,0.9546845740521999,0.9546845740521999,0.9569649676569942,0.9569649676569942,0.9551406527731586,0.0009614983670442781,12.0,6.0,12.0
"{'bout_size': 0.07, 'epoch': 100, 'pop_size': 100}",0.9506982395694099,0.9506982395694099,0.9506982395694099,0.9506982395694099,0.9506982395694099,0.9506982395694099,0.9506982395694099,0.9506982395694099,0.9519447176113324,0.9519447176113324,0.9509475351777944,0.0005255612887815764,2.0,3.0,2.0
"{'bout_size': 0.08, 'epoch': 100, 'pop_size': 100}",0.9513896715136886,0.9513896715136886,0.9513896715136886,0.9513896715136886,0.9513896715136886,0.9513896715136886,0.9513896715136886,0.9513896715136886,0.9499845609147289,0.9499845609147289,0.9511086493938967,0.0005924466476207869,3.0,5.0,3.0
"{'bout_size': 0.09, 'epoch': 100, 'pop_size': 100}",0.9566239170416877,0.9566239170416877,0.9566239170416877,0.9566239170416877,0.9566239170416877,0.9566239170416877,0.9566239170416877,0.9566239170416877,0.9499416501075401,0.9499416501075401,0.9552874636548581,0.0028174911260182576,13.0,9.0,13.0
"{'bout_size': 0.1, 'epoch': 100, 'pop_size': 100}",0.9505761326675184,0.9505761326675184,0.9505761326675184,0.9505761326675184,0.9505761326675184,0.9505761326675184,0.9505761326675184,0.9505761326675184,1.1255000609031462,1.1255000609031462,0.9855609183146441,0.07375440406512303,16.0,16.0,16.0
"{'bout_size': 0.11, 'epoch': 100, 'pop_size': 100}",0.9497185444457259,0.9497185444457259,0.9497185444457259,0.9497185444457259,0.9497185444457259,0.9497185444457259,0.9497185444457259,0.9497185444457259,0.9686443992288335,0.9686443992288335,0.9535037154023474,0.007979841037361605,9.0,13.0,9.0
"{'bout_size': 0.12, 'epoch': 100, 'pop_size': 100}",0.9512724872529116,0.9512724872529116,0.9512724872529116,0.9512724872529116,0.9512724872529116,0.9512724872529116,0.9512724872529116,0.9512724872529116,0.9511043770812809,0.9511043770812809,0.9512388652185854,7.088147202595824e-05,4.0,1.0,4.0
"{'bout_size': 0.13, 'epoch': 100, 'pop_size': 100}",0.95047113527757,0.95047113527757,0.95047113527757,0.95047113527757,0.95047113527757,0.95047113527757,0.95047113527757,0.95047113527757,0.9585110065055901,0.9585110065055901,0.952079109523174,0.0033899073566664548,6.0,10.0,6.0
"{'bout_size': 0.14, 'epoch': 100, 'pop_size': 100}",0.954754699795223,0.954754699795223,0.954754699795223,0.954754699795223,0.954754699795223,0.954754699795223,0.954754699795223,0.954754699795223,0.9497139330982831,0.9497139330982831,0.9537465464558352,0.00212537385544716,11.0,8.0,11.0
"{'bout_size': 0.15, 'epoch': 100, 'pop_size': 100}",0.9531003166668546,0.9531003166668546,0.9531003166668546,0.9531003166668546,0.9531003166668546,0.9531003166668546,0.9531003166668546,0.9531003166668546,0.9561340468691442,0.9561340468691442,0.9537070627073124,0.001279132966090461,10.0,7.0,10.0
"{'bout_size': 0.16, 'epoch': 100, 'pop_size': 100}",0.9504374930332128,0.9504374930332128,0.9504374930332128,0.9504374930332128,0.9504374930332128,0.9504374930332128,0.9504374930332128,0.9504374930332128,0.9501214071622845,0.9501214071622845,0.950374275859027,0.00013327350511083185,1.0,2.0,1.0
"{'bout_size': 0.17, 'epoch': 100, 'pop_size': 100}",0.9497390217117084,0.9497390217117084,0.9497390217117084,0.9497390217117084,0.9497390217117084,0.9497390217117084,0.9497390217117084,0.9497390217117084,0.9640434055892692,0.9640434055892692,0.9525998984872205,0.006031257810464401,7.0,11.0,7.0
"{'bout_size': 0.18, 'epoch': 100, 'pop_size': 100}",0.9507962508633538,0.9507962508633538,0.9507962508633538,0.9507962508633538,0.9507962508633538,0.9507962508633538,0.9507962508633538,0.9507962508633538,0.9948560464138739,0.9948560464138739,0.9596082099734577,0.01857724095746611,14.0,14.0,14.0
"{'bout_size': 0.19, 'epoch': 100, 'pop_size': 100}",0.9510475558316975,0.9510475558316975,0.9510475558316975,0.9510475558316975,0.9510475558316975,0.9510475558316975,0.9510475558316975,0.9510475558316975,0.9524292959919891,0.9524292959919891,0.951323903863756,0.0005825928054730043,5.0,4.0,5.0
"{'bout_size': 0.2, 'epoch': 100, 'pop_size': 100}",0.9553939937090354,0.9553939937090354,0.9553939937090354,0.9553939937090354,0.9553939937090354,0.9553939937090354,0.9553939937090354,0.9553939937090354,1.0221202861980636,1.0221202861980636,0.9687392522068412,0.028134275211188657,15.0,15.0,15.0
