params,trial_1,trial_2,trial_3,trial_4,trial_5,trial_6,trial_7,trial_8,trial_9,trial_10,trial_mean,trial_std,rank_mean,rank_std,rank_mean_std
"{'alpha': 0.3, 'alpha_damp': 0.8, 'beta_base': 0.5, 'delta': 0.06, 'epoch': 100, 'exponent': 2, 'gamma': 0.001, 'pop_size': 100}",1.027982055856887,1.027982055856887,1.027982055856887,1.027982055856887,1.027982055856887,1.027982055856887,1.027982055856887,1.027982055856887,1.0481723499862898,1.0481723499862898,1.0320201146827677,0.008512975477018552,95.0,57.0,62.0
"{'alpha': 0.3, 'alpha_damp': 0.8, 'beta_base': 0.5, 'delta': 0.06, 'epoch': 100, 'exponent': 2, 'gamma': 0.002, 'pop_size': 100}",1.06235654646933,1.06235654646933,1.06235654646933,1.06235654646933,1.06235654646933,1.06235654646933,1.06235654646933,1.06235654646933,1.087717313228978,1.087717313228978,1.0674286998212597,0.010693038155836684,188.0,79.0,125.0
"{'alpha': 0.3, 'alpha_damp': 0.8, 'beta_base': 0.5, 'delta': 0.06, 'epoch': 100, 'exponent': 2, 'gamma': 0.003, 'pop_size': 100}",1.0095083069750561,1.0095083069750561,1.0095083069750561,1.0095083069750561,1.0095083069750561,1.0095083069750561,1.0095083069750561,1.0095083069750561,1.1225911462990086,1.1225911462990086,1.0321248748398466,0.047679911539006026,96.0,236.0,63.0
"{'alpha': 0.3, 'alpha_damp': 0.8, 'beta_base': 0.5, 'delta': 0.08, 'epoch': 100, 'exponent': 2, 'gamma': 0.001, 'pop_size': 100}",1.1009733279362974,1.1009733279362974,1.1009733279362974,1.1009733279362974,1.1009733279362974,1.1009733279362974,1.1009733279362974,1.1009733279362974,1.0004847723265626,1.0004847723265626,1.0808756168143503,0.04236969526763363,213.5,231.5,144.0
"{'alpha': 0.3, 'alpha_damp': 0.8, 'beta_base': 0.5, 'delta': 0.08, 'epoch': 100, 'exponent': 2, 'gamma': 0.002, 'pop_size': 100}",1.0831760479338282,1.0831760479338282,1.0831760479338282,1.0831760479338282,1.0831760479338282,1.0831760479338282,1.0831760479338282,1.0831760479338282,1.1259033016294968,1.1259033016294968,1.091721498672962,0.01801539197895464,230.5,117.5,154.0
"{'alpha': 0.3, 'alpha_damp': 0.8, 'beta_base': 0.5, 'delta': 0.08, 'epoch': 100, 'exponent': 2, 'gamma': 0.003, 'pop_size': 100}",0.9944107054479652,0.9944107054479652,0.9944107054479652,0.9944107054479652,0.9944107054479652,0.9944107054479652,0.9944107054479652,0.9944107054479652,1.0844877780053355,1.0844877780053355,1.0124261199594393,0.037979828565538436,28.5,226.5,20.0
"{'alpha': 0.3, 'alpha_damp': 0.8, 'beta_base': 0.5, 'delta': 0.1, 'epoch': 100, 'exponent': 2, 'gamma': 0.001, 'pop_size': 100}",1.0153498155605007,1.0153498155605007,1.0153498155605007,1.0153498155605007,1.0153498155605007,1.0153498155605007,1.0153498155605007,1.0153498155605007,1.0906009923437152,1.0906009923437152,1.0304000509171436,0.03172868203239207,88.5,194.5,58.0
"{'alpha': 0.3, 'alpha_damp': 0.8, 'beta_base': 0.5, 'delta': 0.1, 'epoch': 100, 'exponent': 2, 'gamma': 0.002, 'pop_size': 100}",1.028276919873262,1.028276919873262,1.028276919873262,1.028276919873262,1.028276919873262,1.028276919873262,1.028276919873262,1.028276919873262,0.9900586308651019,0.9900586308651019,1.0206332620716299,0.0161142455387151,57.5,109.5,36.0
"{'alpha': 0.3, 'alpha_damp': 0.8, 'beta_base': 0.5, 'delta': 0.1, 'epoch': 100, 'exponent': 2, 'gamma': 0.003, 'pop_size': 100}",1.0060714850384063,1.0060714850384063,1.0060714850384063,1.0060714850384063,1.0060714850384063,1.0060714850384063,1.0060714850384063,1.0060714850384063,1.0170952029647204,1.0170952029647204,1.008276228623669,0.004648007590717471,21.5,38.5,15.0
"{'alpha': 0.3, 'alpha_damp': 0.8, 'beta_base': 1.0, 'delta': 0.06, 'epoch': 100, 'exponent': 2, 'gamma': 0.001, 'pop_size': 100}",1.0745211171090656,1.0745211171090656,1.0745211171090656,1.0745211171090656,1.0745211171090656,1.0745211171090656,1.0745211171090656,1.0745211171090656,1.0036320122511557,1.0036320122511557,1.0603432961374837,0.029889471018866957,172.0,187.0,115.0
