params,trial_1,trial_2,trial_3,trial_4,trial_5,trial_6,trial_7,trial_8,trial_9,trial_10,trial_mean,trial_std,rank_mean,rank_std,rank_mean_std
"{'epoch': 100, 'pc': 0.7, 'pm': 0.11, 'pop_size': 100}",5541.346045103543,5541.346045103543,5541.346045103543,5541.346045103543,5541.346045103543,5541.346045103543,5541.346045103543,5541.346045103543,5550.0007886586545,5550.0007886586545,5543.076993814565,3.649160293175576,27.0,26.0,26.0
"{'epoch': 100, 'pc': 0.7, 'pm': 0.13, 'pop_size': 100}",5534.997505210415,5534.997505210415,5534.997505210415,5534.997505210415,5534.997505210415,5534.997505210415,5534.997505210415,5534.997505210415,5550.0007886586545,5550.0007886586545,5537.998161900062,6.325939743672417,6.0,28.0,5.0
"{'epoch': 100, 'pc': 0.7, 'pm': 0.15, 'pop_size': 100}",5538.793808079669,5538.793808079669,5538.793808079669,5538.793808079669,5538.793808079669,5538.793808079669,5538.793808079669,5538.793808079669,5536.014652946266,5536.014652946266,5538.237977052988,1.171794692333693,9.0,11.0,8.0
"{'epoch': 100, 'pc': 0.7, 'pm': 0.17, 'pop_size': 100}",5538.793808079669,5538.793808079669,5538.793808079669,5538.793808079669,5538.793808079669,5538.793808079669,5538.793808079669,5538.793808079669,5549.848220342339,5549.848220342339,5541.004690532203,4.6609494592709275,18.0,27.0,17.0
"{'epoch': 100, 'pc': 0.7, 'pm': 0.2, 'pop_size': 100}",5539.142590563056,5539.142590563056,5539.142590563056,5539.142590563056,5539.142590563056,5539.142590563056,5539.142590563056,5539.142590563056,5541.950142458369,5541.950142458369,5539.704100942118,1.183767818441486,14.0,12.0,13.0
"{'epoch': 100, 'pc': 0.75, 'pm': 0.11, 'pop_size': 100}",5542.788540256091,5542.788540256091,5542.788540256091,5542.788540256091,5542.788540256091,5542.788540256091,5542.788540256091,5542.788540256091,5536.561962221388,5536.561962221388,5541.543224649151,2.625355815791684,20.0,22.0,19.0
"{'epoch': 100, 'pc': 0.75, 'pm': 0.13, 'pop_size': 100}",5542.788540256091,5542.788540256091,5542.788540256091,5542.788540256091,5542.788540256091,5542.788540256091,5542.788540256091,5542.788540256091,5536.525356149567,5536.525356149567,5541.5359034347875,2.6407902908776757,19.0,23.0,18.0
"{'epoch': 100, 'pc': 0.75, 'pm': 0.15, 'pop_size': 100}",5544.650049409243,5544.650049409243,5544.650049409243,5544.650049409243,5544.650049409243,5544.650049409243,5544.650049409243,5544.650049409243,5536.525356149567,5536.525356149567,5543.0251107573085,3.425671465439182,26.0,25.0,25.0
"{'epoch': 100, 'pc': 0.75, 'pm': 0.17, 'pop_size': 100}",5544.26305772762,5544.26305772762,5544.26305772762,5544.26305772762,5544.26305772762,5544.26305772762,5544.26305772762,5544.26305772762,5536.406561100251,5536.406561100251,5542.691758402147,3.312589836255956,23.0,24.0,22.0
"{'epoch': 100, 'pc': 0.75, 'pm': 0.2, 'pop_size': 100}",5542.122798055067,5542.122798055067,5542.122798055067,5542.122798055067,5542.122798055067,5542.122798055067,5542.122798055067,5542.122798055067,5536.406561100251,5536.406561100251,5540.979550664104,2.41017712299245,17.0,21.0,16.0
