params,trial_1,trial_2,trial_3,trial_4,trial_5,trial_6,trial_7,trial_8,trial_9,trial_10,trial_mean,trial_std,rank_mean,rank_std,rank_mean_std
"{'alpha': 0.3, 'alpha_damp': 0.8, 'beta_base': 0.5, 'delta': 0.06, 'epoch': 100, 'exponent': 2, 'gamma': 0.001, 'pop_size': 100}",0.012504966558774226,0.012504966558774226,0.012504966558774226,0.012504966558774226,0.012504966558774226,0.012504966558774226,0.012504966558774226,0.012504966558774226,0.012532850124284371,0.012532850124284371,0.012510543271876253,1.1756743506476422e-05,37.0,95.0,29.0
"{'alpha': 0.3, 'alpha_damp': 0.8, 'beta_base': 0.5, 'delta': 0.06, 'epoch': 100, 'exponent': 2, 'gamma': 0.002, 'pop_size': 100}",0.012528310716154288,0.012528310716154288,0.012528310716154288,0.012528310716154288,0.012528310716154288,0.012528310716154288,0.012528310716154288,0.012528310716154288,0.012516197595514164,0.012516197595514164,0.012525888092026264,5.107340106025144e-06,126.0,41.0,92.0
"{'alpha': 0.3, 'alpha_damp': 0.8, 'beta_base': 0.5, 'delta': 0.06, 'epoch': 100, 'exponent': 2, 'gamma': 0.003, 'pop_size': 100}",0.012504966558774226,0.012504966558774226,0.012504966558774226,0.012504966558774226,0.012504966558774226,0.012504966558774226,0.012504966558774226,0.012504966558774226,0.012605895270379466,0.012605895270379466,0.012525152301095275,4.2555281330510396e-05,125.0,219.0,91.0
"{'alpha': 0.3, 'alpha_damp': 0.8, 'beta_base': 0.5, 'delta': 0.08, 'epoch': 100, 'exponent': 2, 'gamma': 0.001, 'pop_size': 100}",0.012531017074315122,0.012531017074315122,0.012531017074315122,0.012531017074315122,0.012531017074315122,0.012531017074315122,0.012531017074315122,0.012531017074315122,0.012591460009805992,0.012591460009805992,0.012543105661413293,2.5484979282370064e-05,179.5,183.5,131.0
"{'alpha': 0.3, 'alpha_damp': 0.8, 'beta_base': 0.5, 'delta': 0.08, 'epoch': 100, 'exponent': 2, 'gamma': 0.002, 'pop_size': 100}",0.01250277370607523,0.01250277370607523,0.01250277370607523,0.01250277370607523,0.01250277370607523,0.01250277370607523,0.01250277370607523,0.01250277370607523,0.012529389963583281,0.012529389963583281,0.012508096957576842,1.1222399535333346e-05,9.0,86.0,8.0
"{'alpha': 0.3, 'alpha_damp': 0.8, 'beta_base': 0.5, 'delta': 0.08, 'epoch': 100, 'exponent': 2, 'gamma': 0.003, 'pop_size': 100}",0.012520552209334693,0.012520552209334693,0.012520552209334693,0.012520552209334693,0.012520552209334693,0.012520552209334693,0.012520552209334693,0.012520552209334693,0.012526705351311587,0.012526705351311587,0.012521782837730071,2.5943924551167605e-06,112.5,30.5,80.0
"{'alpha': 0.3, 'alpha_damp': 0.8, 'beta_base': 0.5, 'delta': 0.1, 'epoch': 100, 'exponent': 2, 'gamma': 0.001, 'pop_size': 100}",0.012504966558774226,0.012504966558774226,0.012504966558774226,0.012504966558774226,0.012504966558774226,0.012504966558774226,0.012504966558774226,0.012504966558774226,0.012572246344157418,0.012572246344157418,0.012518422515850863,2.836764830642568e-05,97.5,190.5,69.0
"{'alpha': 0.3, 'alpha_damp': 0.8, 'beta_base': 0.5, 'delta': 0.1, 'epoch': 100, 'exponent': 2, 'gamma': 0.002, 'pop_size': 100}",0.012537419418530479,0.012537419418530479,0.012537419418530479,0.012537419418530479,0.012537419418530479,0.012537419418530479,0.012537419418530479,0.012537419418530479,0.012514272366382846,0.012514272366382846,0.012532790008100952,9.759654120694912e-06,150.5,70.5,110.0
"{'alpha': 0.3, 'alpha_damp': 0.8, 'beta_base': 0.5, 'delta': 0.1, 'epoch': 100, 'exponent': 2, 'gamma': 0.003, 'pop_size': 100}",0.012504966558774226,0.012504966558774226,0.012504966558774226,0.012504966558774226,0.012504966558774226,0.012504966558774226,0.012504966558774226,0.012504966558774226,0.012558110644565374,0.012558110644565374,0.012515595375932456,2.2407514035655988e-05,85.5,162.5,61.0
"{'alpha': 0.3, 'alpha_damp': 0.8, 'beta_base': 1.0, 'delta': 0.06, 'epoch': 100, 'exponent': 2, 'gamma': 0.001, 'pop_size': 100}",0.012531921935986899,0.012531921935986899,0.012531921935986899,0.012531921935986899,0.012531921935986899,0.012531921935986899,0.012531921935986899,0.012531921935986899,0.01253620762588565,0.01253620762588565,0.01253277907396665,1.807005523363808e-06,149.0,28.0,109.0
