params,trial_1,trial_2,trial_3,trial_4,trial_5,trial_6,trial_7,trial_8,trial_9,trial_10,trial_mean,trial_std,rank_mean,rank_std,rank_mean_std
"{'c1': 1.0, 'c2': 1.0, 'epoch': 100, 'pop_size': 100, 'w_max': 0.41, 'w_min': 0.1}",0.006075628971846619,0.006075628971846619,0.006075628971846619,0.006075628971846619,0.006075628971846619,0.006075628971846619,0.006075628971846619,0.006075628971846619,0.006449467812418808,0.006449467812418808,0.006150396739961056,0.00015762429520595742,568.0,568.0,112.0
"{'c1': 1.0, 'c2': 1.0, 'epoch': 100, 'pop_size': 100, 'w_max': 0.41, 'w_min': 0.2}",0.0060759566736190195,0.0060759566736190195,0.0060759566736190195,0.0060759566736190195,0.0060759566736190195,0.0060759566736190195,0.0060759566736190195,0.0060759566736190195,0.00607566212492756,0.00607566212492756,0.006075897763880729,1.2419263291105746e-07,403.0,373.0,79.0
"{'c1': 1.0, 'c2': 1.0, 'epoch': 100, 'pop_size': 100, 'w_max': 0.41, 'w_min': 0.3}",0.006075629126100481,0.006075629126100481,0.006075629126100481,0.006075629126100481,0.006075629126100481,0.006075629126100481,0.006075629126100481,0.006075629126100481,0.006409933342687453,0.006409933342687453,0.006142489969417876,0.0001409550341084097,563.0,563.0,111.0
"{'c1': 1.0, 'c2': 1.0, 'epoch': 100, 'pop_size': 100, 'w_max': 0.41, 'w_min': 0.39}",0.006076522523505457,0.006076522523505457,0.006076522523505457,0.006076522523505457,0.006076522523505457,0.006076522523505457,0.006076522523505457,0.006076522523505457,0.00607571325255297,0.00607571325255297,0.006076360669314959,3.412185938764031e-07,473.0,453.0,93.0
"{'c1': 1.0, 'c2': 1.0, 'epoch': 100, 'pop_size': 100, 'w_max': 0.6, 'w_min': 0.1}",0.006075628972029243,0.006075628972029243,0.006075628972029243,0.006075628972029243,0.006075628972029243,0.006075628972029243,0.006075628972029243,0.006075628972029243,0.0060756289737426625,0.0060756289737426625,0.0060756289723719265,7.224410255728239e-13,38.0,43.0,6.0
"{'c1': 1.0, 'c2': 1.0, 'epoch': 100, 'pop_size': 100, 'w_max': 0.6, 'w_min': 0.2}",0.006075639097902121,0.006075639097902121,0.006075639097902121,0.006075639097902121,0.006075639097902121,0.006075639097902121,0.006075639097902121,0.006075639097902121,0.0060756292545038745,0.0060756292545038745,0.006075637129222472,4.150341116746449e-09,178.0,178.0,34.0
"{'c1': 1.0, 'c2': 1.0, 'epoch': 100, 'pop_size': 100, 'w_max': 0.6, 'w_min': 0.3}",0.006075805296404339,0.006075805296404339,0.006075805296404339,0.006075805296404339,0.006075805296404339,0.006075805296404339,0.006075805296404339,0.006075805296404339,0.006075697245680439,0.006075697245680439,0.006075783686259559,4.555818538029559e-08,363.0,293.0,71.0
"{'c1': 1.0, 'c2': 1.0, 'epoch': 100, 'pop_size': 100, 'w_max': 0.6, 'w_min': 0.39}",0.006076600618414497,0.006076600618414497,0.006076600618414497,0.006076600618414497,0.006076600618414497,0.006076600618414497,0.006076600618414497,0.006076600618414497,0.0060758452424150705,0.0060758452424150705,0.006076449543214612,3.184944864019471e-07,493.0,448.0,97.0
"{'c1': 1.0, 'c2': 1.0, 'epoch': 100, 'pop_size': 100, 'w_max': 0.8, 'w_min': 0.1}",0.006075629032809325,0.006075629032809325,0.006075629032809325,0.006075629032809325,0.006075629032809325,0.006075629032809325,0.006075629032809325,0.006075629032809325,0.00607562897273036,0.00607562897273036,0.006075629020793532,2.5331515584320666e-11,88.0,83.0,16.0
"{'c1': 1.0, 'c2': 1.0, 'epoch': 100, 'pop_size': 100, 'w_max': 0.8, 'w_min': 0.2}",0.00607563936062579,0.00607563936062579,0.00607563936062579,0.00607563936062579,0.00607563936062579,0.00607563936062579,0.00607563936062579,0.00607563936062579,0.006076449177402169,0.006076449177402169,0.0060758013239810655,3.4144873343611274e-07,368.0,458.0,72.0
